episode	source	bytes	sha256	in_repo	declared_len_matches
1	server-only(backed-up)	126178859	4a13cb50cffdcf958f463f0e0bef716209e8089eb9f3f2ca3b8481fab9811e26	no	MISMATCH(feed=126178382)
2	server-only(backed-up)	143653004	12b5b5ce0473f4246d75e37f5e33144fc600a5e22f7d7e027fe226d050fedda2	no	yes
3	repo	94439667	8f9d712080a794ffceb8f93f3ab990004bf976cef328c899c7a4243080d1e4b6	yes	yes
4	repo	97828450	ea900844687a0ecc97d95bdb546aafc2dd2a755855551197a1cb9c09507717b9	yes	MISMATCH(feed=93917681)
5	repo	65901781	f1a00fbe5ca53c9c3725511f6553e1d84d5a8772f7d8478e3596d9588fdf26f1	yes	yes
6	repo	38260307	a607254c5fd9aa792dc78edb9e9e7864bcc23a3ef68905263f4a9d7e62fcfdb8	yes	yes
7	repo	35738000	44663575a5cac349e00130f2092d9cd29693d7e3522cfeea7ccce1eac46d874d	yes	yes
8	repo	95582126	90267817c809b1636e7e53b5bd44b1b87f3a973bc23fa3b15e72c7f69b49b98b	yes	yes
9	repo	74689983	89d3f7fc62b3618bfc38c44a41becd70744fa039995988782597e3288fb18951	yes	yes
10	repo	54999964	358605423b0b06f7688141f272f7c0137e818557302683e1fe68c21cf508880d	yes	yes
11	repo	26185120	4ebb4058021b1f74ea9a258bbc58ebce4f48a2b5cbab1a1026141dbee89681b9	yes	yes
12	repo	32800621	f35f8eb7169f7bdb7959bac7b8983789da169ec17c7cf233a9e7ff927d4268b5	yes	yes
13	repo	42400208	a3403e9cf21566423249480f903c9f124779c1696568acbee7355c2bf963875b	yes	yes
14	repo	23185612	7921c2df5b73e95c137b581145ff830a7403d574ad3a5ec09baa7df45eda2117	yes	yes
15	repo	82296372	ed30f936b7fca0050948f218c5841d537a73555904794a3b689312a9f59d6ad6	yes	yes
16	repo	82912850	1cc221e81621009ae6d4aad971b099b85426b8500b06f9d0df6d513d94e3618d	yes	MISMATCH(feed=82826554)
17	repo	44563262	b97baa2c4fae04ffde897a05f5d74f4d6c2693cbe4639b3f2c8e90cc41aa7cf5	yes	yes
18	repo	70018984	81f807a3c78ec2bdce1a6e8367fad001102f8d692fbdc9954012b606e85bdb72	yes	yes
19	repo	68837111	a5d5f2ca2d5ab05663682342485a10241bb25c40eab9cc69f4e23311fb2e0d42	yes	yes
20	repo	57174811	d79319a736f5348bef511e96e5967916799832d29b469fcaad552d02c193bbb8	yes	yes
21	repo	96509816	2bf1efd10a24d18194c55c2ec0624e0b86fc50cad17ad2ac361f061ba7afcd6b	yes	yes
22	server-only(backed-up)	117102621	1a7e4392def96c2120c74dbf3942c13f3d03adcbd22cba9f248eaeb8a5422d8d	no	yes
23	repo	33163004	a6a2cf08cd40d267558678a77ab80db0ce2e09382526893fab5ed1484a44d0a3	yes	yes
24	repo	88569631	88efab7569e397157ce12714d4013a75603cc43ec7519a062056d6a5c84d5abb	yes	yes
25	repo	31150678	295238fd331ab600fba6b6073f1d1f105c9b0bb5fdc8615e83b6dec519b2ce73	yes	yes
26	repo	42313470	c0d9aa9af028afeff186ef2b9e63da3170dd27e27d4b60641f75dc54a280dc79	yes	yes
27	repo	97125586	e7f61972b0c09816c2fc80c36854b1e905454df0155ca837745b101e8a6ef786	yes	yes
28	repo	61252400	a198bd690cdedc062797888d20dbcd0270f0fba50e26ce8894ea6d313e5550d2	yes	yes
29	repo	74633948	248076f3ce6efa0db11a35ad11646800d83936159f6da0af429aca22012a2da0	yes	yes
30	repo	69307719	cad3e5d91537d894d157a2aabdc9dc732ac93dd9be4c227fc86f52cedf6193c1	yes	yes
31	repo	35744554	fa66be68e56f07d5895f26dba874e3cfb942bb02ed0374a29ca8428c106cf431	yes	yes
32	repo	19040666	c2f9778c8cd1c08acd66568748d84107ef6900333ba05d75a3049e64ddfd9d39	yes	yes
33	repo	57451890	08d79875ac18a759ebcae6faa03087684d98828374d093f2a2be90d757f1ea77	yes	yes
34	repo	20756244	9026e0e1e6fcb412c5d02e84f0439c7fc420e746ff5d26cbcd7e504fb2ec87dd	yes	MISMATCH(feed=20693629)
35	repo	27131455	1edec793c0a134f023d77750f1ee90888078f508a7206f82af5e079838dceb38	yes	yes
36	repo	42441111	b59e98890142812ac2d48f1c9499cf3fca383bc3a1448e4db6a52ab26d45a4c4	yes	yes
37	repo	37362515	37935adcda1c1521a816d1fa5508a26c8cdb0bdc8752b269d59c0155202bdebe	yes	yes
38	repo	14702468	abe6aacc1850559745a6e90488628ec3e587589e436c7ec41f5f7a68a9a06c62	yes	yes
39	repo	38900543	48f674b314f97c0500990bcd0b1d418e575f35dbc36e347c8bda5215b44ed681	yes	yes
40	repo	43877942	18901e987a20a78b1c4a0e603b50e40e0d31552abd97588e840555186eb35ddb	yes	yes
41	repo	21253615	888c209b406b6f07b132a7af3a9c9387495653a38a81365d9a87f9596fa250aa	yes	MISMATCH(feed=43877942)
42	repo	53380913	3ff512437b63230c0060e667a853485e06f9d7f5fcb6a505a640c77f7dc19b57	yes	yes
43	repo	32464373	ff86b663b2493a1aae8d85fda3459fb0cf4d2257935b7653da2ca4cf7d7f1b14	yes	yes
44	repo	41417719	b1fe580c06f1748a31e97a0b9278f25453ffad22841a924c08c68062086792a2	yes	yes
45	repo	36351712	362056d27e789e854e4c89d9f0f4b27314c7e96743288f412fc447168627c185	yes	yes
